coord,Stage 120,Stage 122,Stage 124,Stage 126,Stage 128,Stage 130,Stage 132,Stage 134,Stage 136,Stage 138,Stage 140,Stage 142,Stage 144,Stage 146,Stage 148,Stage 150,Stage 152,Stage 154,Stage 156,Stage 158,Stage 160,Stage 162,Stage 164,Stage 166,Stage 168,Stage 170,Stage 172,Stage 174,Stage 176,Stage 178,Stage 180,Stage 182,Stage 184,Stage 186,Stage 188,Stage 190,Stage 192,Stage 194,Stage 196,Stage 198,Stage 200,Stage 202,Stage 204,Stage 206,Stage 208,Stage 210,Stage 212,Stage 214,Stage 216,Stage 218,Stage 220
23,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078,-0.0074078
24,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124,-0.0078124
25,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143,-0.0082143
26,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134,-0.0086134
27,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112,-0.0090112
28,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084,-0.0094084
29,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054,-0.0098054
30,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203,-0.010203
31,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106,-0.0106
32,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996,-0.010996
